Client	Time
13	0.005927
32	0.006131
5	0.006176
14	0.006230
71	0.006245
45	0.006269
19	0.006276
24	0.006286
12	0.006301
78	0.006318
83	0.006321
50	0.006327
26	0.006331
119	0.006310
15	0.006337
75	0.006334
35	0.006345
95	0.006336
18	0.006355
69	0.006351
101	0.006345
34	0.006361
68	0.006358
37	0.006363
23	0.006365
55	0.006363
115	0.006348
8	0.006370
48	0.006370
84	0.006368
56	0.006378
57	0.006381
42	0.006390
80	0.006390
41	0.006412
125	0.006395
22	0.006424
51	0.006424
81	0.006422
11	0.006432
131	0.006411
123	0.006419
38	0.006448
63	0.006445
43	0.006448
46	0.006449
10	0.006452
141	0.006414
36	0.006460
72	0.006456
66	0.006457
49	0.006461
118	0.006448
20	0.006470
151	0.006413
25	0.006475
21	0.006479
2	0.006481
64	0.006479
60	0.006484
17	0.006490
87	0.006482
113	0.006474
135	0.006458
139	0.006456
89	0.006488
27	0.006501
86	0.006497
134	0.006481
44	0.006514
6	0.006521
147	0.006473
30	0.006528
143	0.006486
104	0.006515
39	0.006529
110	0.006519
102	0.006523
130	0.006510
28	0.006539
91	0.006531
103	0.006527
54	0.006543
65	0.006546
85	0.006545
70	0.006552
67	0.006554
7	0.006561
52	0.006560
3	0.006566
98	0.006554
132	0.006538
73	0.006565
124	0.006546
133	0.006541
4	0.006582
9	0.006583
137	0.006548
108	0.006576
16	0.006596
107	0.006580
97	0.006585
121	0.006582
92	0.006598
142	0.006568
31	0.006613
1	0.006618
77	0.006613
99	0.006609
61	0.006620
62	0.006622
120	0.006609
140	0.006596
88	0.006629
33	0.006641
114	0.006623
138	0.006606
126	0.006617
53	0.006641
58	0.006643
165	0.006566
122	0.006626
117	0.006631
112	0.006636
90	0.006646
127	0.006643
94	0.006666
116	0.006667
136	0.006660
111	0.006679
96	0.006689
148	0.006648
29	0.006710
106	0.006697
47	0.006711
149	0.006658
76	0.006708
129	0.006705
109	0.006726
128	0.006721
100	0.006738
40	0.006762
177	0.006671
93	0.006760
159	0.006702
145	0.006734
154	0.006723
79	0.006783
82	0.006784
172	0.006706
152	0.006739
59	0.006797
168	0.006717
158	0.006735
146	0.006759
170	0.006721
74	0.006810
181	0.006720
160	0.006757
153	0.006768
166	0.006748
156	0.006767
155	0.006775
163	0.006763
161	0.006775
182	0.006754
150	0.006807
193	0.006749
157	0.006816
144	0.006845
173	0.006806
178	0.006815
105	0.006918
164	0.006887
210	0.006811
169	0.006893
218	0.006821
205	0.006852
176	0.006916
162	0.006945
191	0.006905
226	0.006835
171	0.006946
195	0.006906
216	0.006876
213	0.006882
185	0.006946
189	0.006950
167	0.006988
186	0.006961
220	0.006906
174	0.007000
200	0.006967
207	0.006956
197	0.006994
180	0.007032
190	0.007030
196	0.007021
211	0.006996
215	0.007000
187	0.007058
239	0.006951
202	0.007041
219	0.007003
188	0.007071
209	0.007035
206	0.007047
203	0.007061
228	0.007009
214	0.007063
223	0.007048
199	0.007095
192	0.007118
208	0.007088
221	0.007070
229	0.007046
184	0.007141
212	0.007100
201	0.007125
198	0.007131
204	0.007122
175	0.007179
217	0.007104
227	0.007091
245	0.007050
194	0.007167
244	0.007055
225	0.007109
179	0.007203
230	0.007102
263	0.007018
183	0.007207
233	0.007105
279	0.006980
249	0.007068
271	0.007010
234	0.007128
246	0.007102
231	0.007143
236	0.007139
267	0.007062
251	0.007110
260	0.007090
274	0.007056
235	0.007174
237	0.007176
256	0.007128
253	0.007137
281	0.007071
248	0.007179
241	0.007218
247	0.007206
254	0.007183
313	0.007011
277	0.007124
283	0.007109
250	0.007203
299	0.007062
224	0.007285
242	0.007245
289	0.007119
266	0.007187
252	0.007233
222	0.007327
270	0.007206
255	0.007252
261	0.007242
275	0.007209
268	0.007232
311	0.007108
262	0.007266
273	0.007242
308	0.007147
243	0.007347
297	0.007203
293	0.007227
288	0.007243
276	0.007288
269	0.007309
240	0.007392
265	0.007335
259	0.007358
272	0.007322
280	0.007306
284	0.007305
285	0.007311
325	0.007176
304	0.007258
258	0.007394
232	0.007470
238	0.007458
290	0.007315
294	0.007311
